test_data_time,train_data_time,net_name,network_time,epoch,lr,train_time
0.9897908000275492,0.0313756999094039,network3,0.0069995999801903,29,0.005-0.005,638.8769345001783
1.1076938998885453,0.0284104000311344,CNN_with_BN,0.0100261999759823,29,0.005-0.005,808.4164059998002
1.2931641000322998,0.0262096000369638,dropout_CNN,0.0013806999195367,13,0.005-0.005,276.7876140999142
1.2443654001690447,0.0273601000662893,dropout_lenet5,0.0010116999037563,29,0.005-0.005,522.6570111999754
1.24163609999232,0.027734600007534,lenet5,0.0013592999894171,18,0.005-0.005,300.1161698999349
1.2851141998544335,0.0270227999426424,lenet4,0.001022599870339,13,0.005-0.005,212.65855040005408
1.0594736998900771,0.0267504998482763,simplified_lenet5,0.0004177000373601,17,0.005-0.005,229.3620492999908
1.3900258999783546,0.0282333998475223,dilated_lenet5,0.0011982999276369,15,0.005-0.005,249.7786463000812
1.479780500056222,0.0292907000984996,lenet1,0.0007957001216709,15,0.005-0.005,252.8000958000776
1.0504090001340955,0.0272843001876026,400-300-10,0.0027079000137746,13,0.005-0.005,149.0249304000754
1.0961915000807494,0.0273897000588476,400-10,0.0016783000901341,17,0.005-0.005,182.54289949988012
1.155193200102076,0.029975600074976683,128-10,0.0010452999267727137,20,0.005-0.005,205.4658774000127
