test_data_time,train_data_time,net_name,network_time,epoch,lr,train_time
1.0451888998504728,0.0267902000341564,network3,0.0061535001732409,29,0.005-0.005,908.707882199902
1.613401599926874,0.0282608999405056,CNN_with_BN,0.0160189000889658,29,0.005-0.005,1220.5969884002116
1.7472355999052525,0.0423824000172317,dropout_CNN,0.0016436998266726,11,0.005-0.005,359.6958422998432
1.9417155000846835,0.0320937000215053,dropout_lenet5,0.001118800137192,26,0.005-0.005,684.7476520999335
1.651030000066385,0.0326840998604893,lenet5,0.0007168999873101,13,0.005-0.005,306.0687742999289
1.4146537000779065,0.0251855999231338,lenet4,0.0006413999944925,13,0.005-0.005,232.328965799883
1.1387757000047714,0.0278392999898642,simplified_lenet5,0.0006258999928832,9,0.005-0.005,179.67149700014852
1.412985699949786,0.0242160998750478,dilated_lenet5,0.0008815999608486,13,0.005-0.005,252.4174385999795
1.550350100034848,0.0254122000187635,lenet1,0.0004175000358372,11,0.005-0.005,244.93443519994617
1.1514210000168532,0.0279475999996066,400-300-10,0.0028567998670041,15,0.005-0.005,215.17423849995248
1.1519599000457674,0.0347104000393301,400-10,0.0012995998840779,15,0.005-0.005,174.02455920004286
1.117690599989146,0.028777899919077754,128-10,0.0007704000454396009,13,0.005-0.005,144.32106350013055
