model,network_time,test_data_time,forward_time,load_time,accuracy,confusion_matrix
params/128-10.pt,0.0136036000330932,0.7546349000185728,0.0329538997029885,0.0726079001324251,97.98,"[[970, 0, 1, 0, 1, 1, 2, 1, 3, 1], [0, 1127, 3, 1, 0, 1, 1, 1, 1, 0], [4, 1, 1011, 2, 3, 0, 3, 5, 3, 0], [0, 0, 5, 992, 0, 2, 0, 2, 4, 5], [1, 0, 3, 0, 959, 0, 3, 3, 1, 12], [2, 0, 0, 7, 1, 871, 5, 0, 5, 1], [5, 3, 2, 1, 3, 3, 941, 0, 0, 0], [2, 5, 6, 5, 0, 0, 0, 1001, 4, 5], [4, 0, 4, 3, 4, 5, 1, 3, 947, 3], [4, 2, 0, 5, 6, 3, 0, 6, 4, 979]]"
params/400-10.pt,0.0018376999651081,0.7076665000058711,0.0274062998942099,0.0614544003037735,98.35,"[[970, 1, 1, 0, 0, 2, 4, 1, 1, 0], [0, 1126, 2, 1, 0, 1, 2, 1, 2, 0], [2, 1, 1013, 3, 2, 0, 2, 4, 5, 0], [0, 0, 4, 994, 0, 3, 0, 2, 1, 6], [2, 1, 2, 1, 965, 0, 3, 1, 0, 7], [2, 0, 0, 5, 2, 875, 3, 0, 4, 1], [3, 2, 0, 1, 3, 4, 945, 0, 0, 0], [0, 3, 6, 1, 1, 0, 0, 1009, 4, 4], [3, 0, 3, 4, 3, 0, 3, 2, 953, 3], [2, 2, 0, 4, 8, 2, 0, 4, 2, 985]]"
params/400-300-10.pt,0.0021804000134579,0.7056978000327945,0.0401688992860727,0.0610648004221729,98.34,"[[973, 0, 1, 0, 0, 0, 2, 1, 2, 1], [0, 1122, 3, 1, 0, 1, 2, 1, 4, 1], [3, 1, 1015, 0, 1, 0, 2, 7, 3, 0], [0, 0, 3, 996, 0, 3, 0, 2, 1, 5], [1, 0, 3, 0, 966, 0, 3, 2, 0, 7], [2, 0, 0, 4, 1, 876, 2, 1, 4, 2], [4, 3, 2, 1, 4, 3, 940, 0, 1, 0], [1, 1, 7, 2, 1, 0, 0, 1007, 3, 6], [3, 0, 2, 2, 2, 3, 2, 3, 953, 4], [2, 2, 0, 4, 7, 2, 2, 4, 0, 986]]"
params/400-300-10.pt,0.0024424000293947,0.7008696999982931,0.0378906996920704,0.0631471003871411,98.34,"[[973, 0, 1, 0, 0, 0, 2, 1, 2, 1], [0, 1122, 3, 1, 0, 1, 2, 1, 4, 1], [3, 1, 1015, 0, 1, 0, 2, 7, 3, 0], [0, 0, 3, 996, 0, 3, 0, 2, 1, 5], [1, 0, 3, 0, 966, 0, 3, 2, 0, 7], [2, 0, 0, 4, 1, 876, 2, 1, 4, 2], [4, 3, 2, 1, 4, 3, 940, 0, 1, 0], [1, 1, 7, 2, 1, 0, 0, 1007, 3, 6], [3, 0, 2, 2, 2, 3, 2, 3, 953, 4], [2, 2, 0, 4, 7, 2, 2, 4, 0, 986]]"
params/128-10.pt,0.0008090999908745,0.710780999972485,0.0156317999935708,0.053481200011447,97.98,"[[970, 0, 1, 0, 1, 1, 2, 1, 3, 1], [0, 1127, 3, 1, 0, 1, 1, 1, 1, 0], [4, 1, 1011, 2, 3, 0, 3, 5, 3, 0], [0, 0, 5, 992, 0, 2, 0, 2, 4, 5], [1, 0, 3, 0, 959, 0, 3, 3, 1, 12], [2, 0, 0, 7, 1, 871, 5, 0, 5, 1], [5, 3, 2, 1, 3, 3, 941, 0, 0, 0], [2, 5, 6, 5, 0, 0, 0, 1001, 4, 5], [4, 0, 4, 3, 4, 5, 1, 3, 947, 3], [4, 2, 0, 5, 6, 3, 0, 6, 4, 979]]"
params/400-10.pt,0.0023105000145733,0.7040555999847129,0.0293208004441112,0.0636542001157067,98.35,"[[970, 1, 1, 0, 0, 2, 4, 1, 1, 0], [0, 1126, 2, 1, 0, 1, 2, 1, 2, 0], [2, 1, 1013, 3, 2, 0, 2, 4, 5, 0], [0, 0, 4, 994, 0, 3, 0, 2, 1, 6], [2, 1, 2, 1, 965, 0, 3, 1, 0, 7], [2, 0, 0, 5, 2, 875, 3, 0, 4, 1], [3, 2, 0, 1, 3, 4, 945, 0, 0, 0], [0, 3, 6, 1, 1, 0, 0, 1009, 4, 4], [3, 0, 3, 4, 3, 0, 3, 2, 953, 3], [2, 2, 0, 4, 8, 2, 0, 4, 2, 985]]"
params/400-10.pt,0.0017770000267773,0.7006695999880321,0.0273179998621344,0.0581272998824715,98.35,"[[970, 1, 1, 0, 0, 2, 4, 1, 1, 0], [0, 1126, 2, 1, 0, 1, 2, 1, 2, 0], [2, 1, 1013, 3, 2, 0, 2, 4, 5, 0], [0, 0, 4, 994, 0, 3, 0, 2, 1, 6], [2, 1, 2, 1, 965, 0, 3, 1, 0, 7], [2, 0, 0, 5, 2, 875, 3, 0, 4, 1], [3, 2, 0, 1, 3, 4, 945, 0, 0, 0], [0, 3, 6, 1, 1, 0, 0, 1009, 4, 4], [3, 0, 3, 4, 3, 0, 3, 2, 953, 3], [2, 2, 0, 4, 8, 2, 0, 4, 2, 985]]"
params/128-10.pt,0.0009207999682985,0.7395139000145718,0.0160071995924226,0.0634411000064574,97.98,"[[970, 0, 1, 0, 1, 1, 2, 1, 3, 1], [0, 1127, 3, 1, 0, 1, 1, 1, 1, 0], [4, 1, 1011, 2, 3, 0, 3, 5, 3, 0], [0, 0, 5, 992, 0, 2, 0, 2, 4, 5], [1, 0, 3, 0, 959, 0, 3, 3, 1, 12], [2, 0, 0, 7, 1, 871, 5, 0, 5, 1], [5, 3, 2, 1, 3, 3, 941, 0, 0, 0], [2, 5, 6, 5, 0, 0, 0, 1001, 4, 5], [4, 0, 4, 3, 4, 5, 1, 3, 947, 3], [4, 2, 0, 5, 6, 3, 0, 6, 4, 979]]"
params/400-300-10.pt,0.002390399982687,0.6987243000185117,0.0399087003897875,0.0554749996517784,98.34,"[[973, 0, 1, 0, 0, 0, 2, 1, 2, 1], [0, 1122, 3, 1, 0, 1, 2, 1, 4, 1], [3, 1, 1015, 0, 1, 0, 2, 7, 3, 0], [0, 0, 3, 996, 0, 3, 0, 2, 1, 5], [1, 0, 3, 0, 966, 0, 3, 2, 0, 7], [2, 0, 0, 4, 1, 876, 2, 1, 4, 2], [4, 3, 2, 1, 4, 3, 940, 0, 1, 0], [1, 1, 7, 2, 1, 0, 0, 1007, 3, 6], [3, 0, 2, 2, 2, 3, 2, 3, 953, 4], [2, 2, 0, 4, 7, 2, 2, 4, 0, 986]]"
params/128-10.pt,0.0007801000028848,0.7009662999771535,0.0140267999959178,0.0476936997729353,97.98,"[[970, 0, 1, 0, 1, 1, 2, 1, 3, 1], [0, 1127, 3, 1, 0, 1, 1, 1, 1, 0], [4, 1, 1011, 2, 3, 0, 3, 5, 3, 0], [0, 0, 5, 992, 0, 2, 0, 2, 4, 5], [1, 0, 3, 0, 959, 0, 3, 3, 1, 12], [2, 0, 0, 7, 1, 871, 5, 0, 5, 1], [5, 3, 2, 1, 3, 3, 941, 0, 0, 0], [2, 5, 6, 5, 0, 0, 0, 1001, 4, 5], [4, 0, 4, 3, 4, 5, 1, 3, 947, 3], [4, 2, 0, 5, 6, 3, 0, 6, 4, 979]]"
